he NN B
told IN O
me NN B
. . O

Confidence NN B
in IN O
the DT B
pound NN I
is VBZ O
widely RB O
expected VBN O
to TO O
take VB O
another DT B
sharp JJ I
dive NN I
if IN O
trade NN B
figures NNS I
for IN O
September NNP B
, , O
due JJ O
for IN O
release NN B
tomorrow NN B
, , O
fail VB O
to TO O
show VB O
a DT B
substantial JJ I
improvement NN I
from IN O
July NNP B
and CC I
August NNP I
's POS B
near-record JJ I
deficits NNS I
Chancellor NNP O
of IN O
the DT B
Exchequer NNP I
Nigel NNP O
Lawson NNP O
's POS B
restated VBN I
commitment NN I
to TO O
a DT B
firm NN I
monetary JJ I
policy NN I
has VBZ O
helped VBN O
to TO O
prevent VB O
a DT B
freefall NN I
in IN O
sterling NN B
over IN O
the DT B
past JJ I
week NN I
. . O

But CC O
analysts NNS B
reckon VBP O
underlying VBG B
support NN I
for IN O
sterling NN B
has VBZ O
been VBN O
eroded VBN O
by IN O
the DT B
chancellor NN I
's POS B
failure NN I
to TO O
announce VB O
any DT B
new JJ I
policy NN I
measures NNS I
in IN O
his PRP$ B
Mansion NNP I
House NNP I
speech NN I
last JJ B
Thursday NNP I
. . O

This DT B
has VBZ O
increased VBN O
the DT B
risk NN I
of IN O
the DT B
government NN I
being VBG O
forced VBN O
to TO O
increase VB O
base NN B
rates NNS I
to TO O
16 CD B
% NN I
from IN O
their PRP$ B
current JJ I
15 CD I
% NN I
level NN I
to TO O
defend VB O
the DT B
pound NN I
, , O
economists NNS B
and CC O
foreign JJ B
exchange NN I
market NN I
analysts NNS I
say VBP O
. . O

`` `` O
The DT B
risks NNS I
for IN O
sterling NN B
of IN O
a DT B
bad JJ I
trade NN I
figure NN I
are VBP O
very RB O
heavily RB O
on IN O
the DT B
down JJ I
side NN I
, , O
'' '' O
said VBD O
Chris NNP B
Dillow NNP I
, , O
senior JJ B
U.K. NNP I
economist NN I
at IN O
Nomura NNP B
Research NNP I
Institute NNP I
. . O
